CustomerKey,First Name,Last Name,Full Name,Gender,Customer City,DateFirstPurchase
11137,Jasmine,Taylor,Jasmine Taylor,Female,Spokane,31/07/2022
11138,Lauren,Davis,Lauren Davis,Female,Glendale,19/09/2022
11139,Tanya,Moreno,Tanya Moreno,Female,Cloverdale,14/09/2022
11140,Javier,Alvarez,Javier Alvarez,Male,Burbank,19/03/2022
11141,Nicole,Ramirez,Nicole Ramirez,Female,Daly City,16/05/2022
11142,Eduardo,Patterson,Eduardo Patterson,Male,Langford,13/02/2022
11143,Jonathan,Henderson,Jonathan Henderson,Male,Lakewood,15/06/2022
11144,Edward,Hernandez,Edward Hernandez,Male,Ballard,25/01/2022
11145,Jasmine,Coleman,Jasmine Coleman,Female,Beaverton,25/01/2022
11146,Karla,Goel,Karla Goel,Female,Matraville,05/02/2022
11147,Ernest,Wu,Ernest Wu,Male,Warrnambool,13/05/2020
11148,Ross,Vazquez,Ross Vazquez,Male,East Brisbane,07/03/2022
11149,Theodore,Gill,Theodore Gill,Male,Hervey Bay,04/06/2022
11150,Russell,Shen,Russell Shen,Male,Sunbury,27/03/2022
11151,Melinda,Gill,Melinda Gill,Female,Sydney,15/05/2020
11152,James,Williams,James Williams,Male,Puyallup,09/01/2022
11153,Angela,James,Angela James,Female,Renton,29/03/2022
11154,Megan,Walker,Megan Walker,Female,Woodburn,10/01/2022
11155,Hunter,Robinson,Hunter Robinson,Male,Burbank,06/01/2022
11156,Maria,Roberts,Maria Roberts,Female,Lakewood,08/01/2022
11157,Hannah,Long,Hannah Long,Female,Tacoma,24/07/2022
11158,Jason,Wright,Jason Wright,Male,San Gabriel,19/01/2022
11159,Brianna,Hughes,Brianna Hughes,Female,Woodland Hills,08/09/2022
11160,Maurice,Tang,Maurice Tang,Male,Concord,21/02/2022
11161,Emily,Wood,Emily Wood,Female,Concord,01/06/2022
11162,Chase,Cox,Chase Cox,Male,La Jolla,18/02/2022
11163,Gabriel,Wang,Gabriel Wang,Male,Spring Valley,01/05/2022
11164,Devin,Brooks,Devin Brooks,Male,Torrance,27/04/2022
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,Oakland,25/05/2022
11166,Ashley,Martinez,Ashley Martinez,Female,Olympia,14/10/2022
11167,Jasmine,Barnes,Jasmine Barnes,Female,Issaquah,07/01/2022
11168,David,Rodriguez,David Rodriguez,Male,Oakland,15/01/2022
11169,Bryce,Richardson,Bryce Richardson,Male,Coronado,26/05/2022
11170,Carol,Howard,Carol Howard,Female,Burien,26/08/2022
11171,Jonathan,Hill,Jonathan Hill,Male,Woodland Hills,20/08/2020
11172,Gabrielle,Adams,Gabrielle Adams,Female,Lynnwood,03/05/2022
11173,Sarah,Thomas,Sarah Thomas,Female,W. Linn,02/03/2022
11174,Nicholas,Robinson,Nicholas Robinson,Male,Los Angeles,13/07/2022
11175,Luis,Wang,Luis Wang,Male,Beverly Hills,28/08/2020
11176,Mason,Roberts,Mason Roberts,Male,Haney,02/02/2022
11177,Jose,Flores,Jose Flores,Male,San Diego,29/03/2022
11178,Nathan,Johnson,Nathan Johnson,Male,Lakewood,21/02/2022
11179,Molly,Rodriguez,Molly Rodriguez,Female,Beverly Hills,12/03/2022
11180,April,Anand,April Anand,Female,Chula Vista,17/03/2022
11181,Devin,Martin,Devin Martin,Male,Los Angeles,07/05/2022
11182,Stephanie,Torres,Stephanie Torres,Female,Sedro Woolley,28/08/2022
11183,Jasmine,Lee,Jasmine Lee,Female,Santa Cruz,30/04/2022
11184,Meghan,Hernandez,Meghan Hernandez,Female,Concord,10/08/2022
11185,Ashley,Henderson,Ashley Henderson,Female,Metchosin,21/02/2022
11186,Sarah,Price,Sarah Price,Female,Palo Alto,18/10/2022
11187,Jennifer,Cooper,Jennifer Cooper,Female,Burien,03/04/2022
11188,Catherine,Morris,Catherine Morris,Female,San Gabriel,01/11/2022
11189,Lawrence,Blanco,Lawrence Blanco,Male,Bellingham,26/08/2020
11190,Carson,Bryant,Carson Bryant,Male,Beverly Hills,28/08/2022
11191,Kristi,Perez,Kristi Perez,Female,Colma,11/08/2020
11192,James,Brown,James Brown,Male,Seattle,23/06/2022
11193,Ian,Gray,Ian Gray,Male,Woodburn,25/02/2022
11194,Jacqueline,Price,Jacqueline Price,Female,Palo Alto,13/03/2022
11195,Megan,Henderson,Megan Henderson,Female,Renton,14/04/2022
11196,Alfredo,Romero,Alfredo Romero,Male,Beaverton,03/03/2022
11197,Andrea,Morris,Andrea Morris,Female,Seattle,02/05/2022
11198,Brooke,Sanders,Brooke Sanders,Female,Santa Cruz,05/02/2022
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,Burlingame,18/03/2022
11200,Jason,Griffin,Jason Griffin,Male,Victoria,07/02/2022
11201,Amanda,Foster,Amanda Foster,Female,Santa Monica,01/07/2022
11202,Alexia,Price,Alexia Price,Female,Lakewood,15/09/2022
11203,Luis,Diaz,Luis Diaz,Male,Port Hammond,20/02/2022
11204,Destiny,Rivera,Destiny Rivera,Female,Beaverton,09/08/2022
11205,Abby,Fernandez,Abby Fernandez,Female,Burien,27/07/2022
11206,Blake,Flores,Blake Flores,Male,Lynnwood,11/05/2022
11207,Danielle,Cox,Danielle Cox,Female,Renton,31/01/2022
11208,Maria,Reed,Maria Reed,Female,Glendale,04/03/2022
11209,Allison,Evans,Allison Evans,Female,Lincoln Acres,25/03/2022
11210,Edward,Wood,Edward Wood,Male,West Covina,06/05/2022
11211,Samantha,Russell,Samantha Russell,Female,Haney,01/02/2022
11212,Chloe,Campbell,Chloe Campbell,Female,Metchosin,30/01/2022
11213,Stephanie,Murphy,Stephanie Murphy,Female,Edmonds,28/03/2022
11214,Charles,Miller,Charles Miller,Male,Milwaukie,14/08/2022
11215,Ana,Perry,Ana Perry,Female,Royal Oak,15/02/2022
11216,Jasmine,Torres,Jasmine Torres,Female,Portland,15/08/2020
11217,Natalie,Adams,Natalie Adams,Female,Portland,10/08/2020
11218,Olivia,Brown,Olivia Brown,Female,Tacoma,28/02/2022
11219,Charles,Cook,Charles Cook,Male,Woodburn,29/10/2022
11220,Erica,Huang,Erica Huang,Female,Colma,14/03/2022
11221,Nathan,Perry,Nathan Perry,Male,Lakewood,07/04/2022
11222,Alexandra,Rivera,Alexandra Rivera,Female,Santa Monica,01/11/2022
11223,Hailey,Patterson,Hailey Patterson,Female,Langley,29/01/2022
11224,Tiffany,Li,Tiffany Li,Female,Burien,07/08/2020
11225,Madison,Lee,Madison Lee,Female,Renton,22/06/2022
11226,Sydney,Ross,Sydney Ross,Female,W. Linn,21/02/2022
11227,Marshall,Chavez,Marshall Chavez,Male,Colma,03/08/2020
11228,Ashley,Jones,Ashley Jones,Female,El Cajon,25/10/2022
11229,Adrian,Stewart,Adrian Stewart,Male,Redwood City,27/07/2022
11230,Amber,Turner,Amber Turner,Female,Santa Monica,16/07/2022
11231,Dennis,Zhang,Dennis Zhang,Male,Bremerton,10/02/2022
11232,Hailey,Bryant,Hailey Bryant,Female,Everett,20/09/2022
11233,Todd,Li,Todd Li,Male,Berkeley,08/02/2022
11234,Anna,Griffin,Anna Griffin,Female,Long Beach,08/02/2022
11235,Angel,Stewart,Angel Stewart,Male,Ballard,04/07/2022
11236,Jeremy,Butler,Jeremy Butler,Male,Bellingham,03/10/2022
11237,Clarence,Anand,Clarence Anand,Male,Solingen,05/09/2020
11238,Mayra,Prasad,Mayra Prasad,Female,Birmingham,06/01/2020
11239,Latoya,Goel,Latoya Goel,Female,London,19/01/2020
11240,Anne,Hernandez,Anne Hernandez,Female,Watford,27/02/2020
11241,Lisa,Cai,Lisa Cai,Female,Les Ulis,10/09/2021
11242,Larry,Munoz,Larry Munoz,Male,Versailles,19/09/2021
11243,Robin,Alvarez,Robin Alvarez,Female,Esher-Molesey,21/02/2020
11244,Alexis,Coleman,Alexis Coleman,Female,Runcorn,12/02/2020
11245,Ricky,Vazquez,Ricky Vazquez,Male,Hamburg,26/09/2020
11246,Latasha,Rubio,Latasha Rubio,Female,Hamburg,03/10/2020
11247,Claudia,Zhou,Claudia Zhou,Female,Lancaster,18/02/2020
11248,Tristan,Alexander,Tristan Alexander,Male,Saint-Denis,14/07/2022
11249,Cindy,Patel,Cindy Patel,Female,Sulzbach Taunus,09/10/2020
11250,Shannon,Liu,Shannon Liu,Female,Woolston,17/03/2020
11251,Xavier,Long,Xavier Long,Male,Haney,18/10/2022
11252,Nicholas,Thompson,Nicholas Thompson,Male,Lemon Grove,14/08/2020
11253,José,Hernandez,José Hernandez,Male,Victoria,01/03/2022
11254,Johnathan,Vance,Johnathan Vance,Male,Burien,23/11/2022
11255,Colin,Lin,Colin Lin,Male,Burien,23/02/2022
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,Lynnwood,15/04/2022
11257,Jacqueline,Powell,Jacqueline Powell,Female,Newport Beach,24/08/2020
11258,Xavier,Hill,Xavier Hill,Male,Palo Alto,21/05/2022
11259,Victoria,Stewart,Victoria Stewart,Female,Salem,04/09/2020
11260,Katelyn,Kelly,Katelyn Kelly,Female,Burlingame,05/02/2022
11261,Stephanie,Collins,Stephanie Collins,Female,San Diego,27/09/2020
11262,Jennifer,Simmons,Jennifer Simmons,Female,Port Hammond,27/02/2022
11263,Trinity,Richardson,Trinity Richardson,Female,Burien,29/08/2020
11264,Eduardo,Martin,Eduardo Martin,Male,Issaquah,02/01/2022
11265,Elizabeth,Jones,Elizabeth Jones,Female,Kirkland,03/01/2022
11266,Taylor,Howard,Taylor Howard,Female,Port Orchard,10/09/2020
11267,David,Diaz,David Diaz,Male,Burlingame,17/09/2020
11268,Katelyn,Carter,Katelyn Carter,Female,Coronado,29/05/2022
11269,Ryan,Foster,Ryan Foster,Male,Daly City,22/08/2022
11270,Robert,Lee,Robert Lee,Male,Lakewood,10/09/2020
11271,Danielle,Reed,Danielle Reed,Female,San Francisco,27/09/2020
11272,Lauren,Martinez,Lauren Martinez,Female,Beverly Hills,19/09/2020
11273,Nathan,Lal,Nathan Lal,Male,La Jolla,14/05/2022
11274,Kyle,Foster,Kyle Foster,Male,Bellingham,29/08/2020
11275,Jenny,Rai,Jenny Rai,Female,Colma,30/08/2020
11276,Nancy,Chapman,Nancy Chapman,Female,Cliffside,29/01/2022
11277,Charles,Jackson,Charles Jackson,Male,Royal Oak,02/02/2022
11278,Jonathan,Phillips,Jonathan Phillips,Male,Edmonds,16/09/2020
11279,Amanda,Cook,Amanda Cook,Female,Everett,03/03/2022
11280,Robert,Collins,Robert Collins,Male,Lynnwood,01/07/2022
11281,Megan,Barnes,Megan Barnes,Female,Burbank,13/09/2020
11282,Christian,Thomas,Christian Thomas,Male,Burien,31/08/2020
11283,Arturo,Lal,Arturo Lal,Male,Berkeley,29/05/2022
11284,Theresa,Serrano,Theresa Serrano,Female,Chula Vista,06/02/2022
11285,Jeremy,Anderson,Jeremy Anderson,Male,Fremont,27/07/2022
11286,Hunter,Griffin,Hunter Griffin,Male,Torrance,21/09/2020
11287,Henry,Garcia,Henry Garcia,Male,Cliffside,29/01/2022
11288,Cindy,Sanchez,Cindy Sanchez,Female,Burbank,05/03/2022
11289,Maria,Carter,Maria Carter,Female,Downey,08/09/2020
11290,Katelyn,Sanchez,Katelyn Sanchez,Female,Lakewood,20/09/2020
11291,Jenna,Wright,Jenna Wright,Female,Lemon Grove,04/09/2020
11292,Seth,Phillips,Seth Phillips,Male,San Gabriel,15/09/2020
11293,Luke,Long,Luke Long,Male,Port Orchard,24/02/2022
11294,Dalton,Clark,Dalton Clark,Male,Issaquah,25/09/2022
11295,Taylor,Lewis,Taylor Lewis,Female,Concord,25/09/2020
11296,Haley,Richardson,Haley Richardson,Female,Everett,01/09/2020
11297,Noah,Coleman,Noah Coleman,Male,Burbank,26/09/2020
11298,Jon,Luo,Jon Luo,Male,Chula Vista,12/09/2020
11299,Orlando,Vazquez,Orlando Vazquez,Male,Burbank,26/09/2020
11300,Fernando,Barnes,Fernando Barnes,Male,N. Vancouver,31/01/2022
11301,Cameron,Rodriguez,Cameron Rodriguez,Male,Ballard,09/06/2022
11302,Spencer,Russell,Spencer Russell,Male,Corvallis,06/09/2020
11303,Julia,Coleman,Julia Coleman,Female,Edmonds,02/09/2020
11304,Julia,Garcia,Julia Garcia,Female,Portland,20/03/2022
11305,Sean,Evans,Sean Evans,Male,Chula Vista,25/03/2022
11306,Micah,Zhou,Micah Zhou,Male,Coronado,30/06/2022
11307,Hunter,Rodriguez,Hunter Rodriguez,Male,Daly City,04/09/2020
11308,Ian,Gonzales,Ian Gonzales,Male,Oregon City,07/09/2022
11309,Victoria,Lewis,Victoria Lewis,Female,Beaverton,09/07/2022
11310,Erin,Sanders,Erin Sanders,Female,San Francisco,12/08/2022
11311,Gabrielle,Lopez,Gabrielle Lopez,Female,Lynnwood,18/04/2022
11312,Sara,Richardson,Sara Richardson,Female,Lynnwood,17/05/2022
11313,Trevor,Jenkins,Trevor Jenkins,Male,Port Orchard,07/05/2022
11314,Mya,Flores,Mya Flores,Female,Issaquah,25/02/2022
11315,Hailey,Ward,Hailey Ward,Female,Port Orchard,20/05/2022
11316,Luke,Allen,Luke Allen,Male,Langford,12/01/2022
11317,Victoria,Russell,Victoria Russell,Female,Salem,01/09/2020
11318,Jessica,Wilson,Jessica Wilson,Female,Edmonds,17/10/2022
11319,Jade,Bailey,Jade Bailey,Female,Oakland,09/09/2020
11320,Morgan,Hill,Morgan Hill,Female,Glendale,15/06/2022
11321,Terrance,Raman,Terrance Raman,Male,Burien,23/02/2022
11322,Sydney,Garcia,Sydney Garcia,Female,Bremerton,24/03/2022
11323,Jose,Patterson,Jose Patterson,Male,Daly City,10/09/2020
11324,Zachary,Anderson,Zachary Anderson,Male,Glendale,26/09/2020
11325,Elijah,Ross,Elijah Ross,Male,Seattle,19/09/2020
11326,Rafael,Xie,Rafael Xie,Male,Beverly Hills,15/09/2020
11327,Jaime,Moreno,Jaime Moreno,Male,Burbank,26/09/2020
11328,Julian,Griffin,Julian Griffin,Male,Newton,05/01/2022
11329,Andy,Alvarez,Andy Alvarez,Male,Concord,25/09/2020
11330,Ryan,Thompson,Ryan Thompson,Male,Oak Bay,12/02/2022
11331,Samantha,Jenkins,Samantha Jenkins,Female,Shawnee,07/02/2022
11332,Deanna,Ramos,Deanna Ramos,Female,Berlin,15/10/2020
11333,Emily,Miller,Emily Miller,Female,Newcastle upon Tyne,21/03/2020
11334,Nicole,Brown,Nicole Brown,Female,Stoke-on-Trent,04/03/2020
11335,Carla,Raman,Carla Raman,Female,Hof,23/10/2020
11336,Shaun,Raji,Shaun Raji,Male,Paris,27/09/2021
11337,Jerome,Romero,Jerome Romero,Male,Watford,09/03/2020
11338,Frank,Navarro,Frank Navarro,Male,Bonn,11/10/2020
11339,Dennis,She,Dennis She,Male,Paris,07/10/2021
11340,Melody,Munoz,Melody Munoz,Female,Paris,27/10/2021
11341,Randy,Zeng,Randy Zeng,Male,Cheltenham,11/04/2020
11342,Marshall,Wang,Marshall Wang,Male,Boulogne-sur-Mer,12/07/2022
11343,Arthur,Carlson,Arthur Carlson,Male,Oxon,04/04/2020
11344,Jessie,Jimenez,Jessie Jimenez,Female,Oxford,13/05/2020
11345,Robin,Ramos,Robin Ramos,Female,Tremblay-en-France,22/10/2021
11346,Deanna,Gutierrez,Deanna Gutierrez,Female,Paris,01/10/2021
11347,Roy,Navarro,Roy Navarro,Male,Braunschweig,16/03/2022
11348,Shawn,Rai,Shawn Rai,Male,Paderborn,31/03/2022
11349,Mindy,Luo,Mindy Luo,Female,München,13/01/2023
11350,Cara,Zhou,Cara Zhou,Female,Peterborough,05/02/2022
11351,Anne,Ramos,Anne Ramos,Female,London,12/06/2020
11352,Raymond,Rodriguez,Raymond Rodriguez,Male,Pantin,01/05/2022
11353,Carrie,Ortega,Carrie Ortega,Female,Warrington,12/06/2020
11354,Deanna,Suarez,Deanna Suarez,Female,Grevenbroich,03/12/2022
11355,Roberto,Gutierrez,Roberto Gutierrez,Male,Wokingham,26/09/2022
11356,Terrence,Carson,Terrence Carson,Male,Lavender Bay,10/05/2020
11357,Ramon,Ye,Ramon Ye,Male,Caloundra,18/06/2020
11358,Cynthia,Malhotra,Cynthia Malhotra,Female,Coffs Harbour,28/06/2020
11359,Jarrod,Prasad,Jarrod Prasad,Male,Malabar,13/06/2020
11360,Tyrone,Serrano,Tyrone Serrano,Male,Rockhampton,27/06/2020
11361,Cindy,Ramos,Cindy Ramos,Female,Newcastle,01/10/2022
11362,Damien,Shan,Damien Shan,Male,Cranbourne,29/03/2022
11363,Julian,Ross,Julian Ross,Male,Melbourne,08/06/2020
11364,Jennifer,Collins,Jennifer Collins,Female,Geelong,07/06/2020
11365,Brittney,Sun,Brittney Sun,Female,Findon,31/05/2020
11366,Virginia,Patel,Virginia Patel,Female,Seaford,24/06/2022
11367,Calvin,Nara,Calvin Nara,Male,North Sydney,07/07/2022
11368,Edward,Miller,Edward Miller,Male,Rockhampton,24/06/2020
11369,Ashlee,Tang,Ashlee Tang,Female,Findon,05/07/2022
11370,Alicia,Xu,Alicia Xu,Female,South Melbourne,13/07/2022
11371,Lacey,Jai,Lacey Jai,Female,Rockhampton,07/11/2022
11372,Wendy,Romero,Wendy Romero,Female,Brisbane,07/06/2020
11373,Carly,Luo,Carly Luo,Female,Salzgitter,27/08/2022
11374,Jimmy,Ortega,Jimmy Ortega,Male,Werne,15/04/2022
11375,Francisco,Martinez,Francisco Martinez,Male,High Wycombe,17/10/2022
11376,Lance,Vazquez,Lance Vazquez,Male,Liverpool,15/10/2022
11377,David,Robinett,David Robinett,Male,Solingen,28/02/2022
11378,Shannon,Liang,Shannon Liang,Female,Metz,17/10/2021
